question,contexts,answer,ground_truth
한국 2차 협력업체가 Level 2 달성 시 겪는 주요 장벽은 무엇인가요?,"['Managed (관리)(Process achieves defined goals and is controlled)는 대부분 자동차 OEM에서 기본적으로 요구하는 등급입니다.\nLevel 2 달성을 위해서는 Defined process goals, Process performance monitoring, Adequate resources and training 등을 충족해야 합니다.\n준비에 필요한 증거물로는 Process policy and procedures, Quality plans and measurements, Training records 등이 있으며, 이는 평가 시 Assessor가 검토합니다.']","ASPICE Level 2 달성은 보통 6-12개월이 소요되며, 정의된 프로세스 목표, 성과 측정 시스템, 적절한 자원과 교육, 품질 보증 절차가 필요합니다. 특히 프로세스 준수 증거(정책, 절차, 기록, 산출물)가 체계적으로 확립되어야 합니다.",관리(Managed) - 정의된 목표 달성 및 프로세스 관리
Level 2 유지를 위한 지속적인 개선 활동은 무엇인가요?,"['Managed (관리)(Process achieves defined goals and is controlled)는 대부분 자동차 OEM에서 기본적으로 요구하는 등급입니다.\nLevel 2 달성을 위해서는 Defined process goals, Process performance monitoring, Adequate resources and training 등을 충족해야 합니다.\n준비에 필요한 증거물로는 Process policy and procedures, Quality plans and measurements, Training records 등이 있으며, 이는 평가 시 Assessor가 검토합니다.']",Managed (관리)(Process achieves defined goals and is controlled)는 대부분 자동차 OEM에서 기본적으로 요구하는 등급입니다. 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.,관리(Managed) - 정의된 목표 달성 및 프로세스 관리
ASPICE 평가에서 'incomplete' 판정을 받는 주요 이유는 무엇인가요?,"['Managed (관리)(Process achieves defined goals and is controlled)는 대부분 자동차 OEM에서 기본적으로 요구하는 등급입니다.\nLevel 2 달성을 위해서는 Defined process goals, Process performance monitoring, Adequate resources and training 등을 충족해야 합니다.\n준비에 필요한 증거물로는 Process policy and procedures, Quality plans and measurements, Training records 등이 있으며, 이는 평가 시 Assessor가 검토합니다.']",Managed (관리)(Process achieves defined goals and is controlled)는 대부분 자동차 OEM에서 기본적으로 요구하는 등급입니다. 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.,ASPICE 자동차 소프트웨어 프로세스 평가 및 인증에 관한 정확한 정보입니다.
SWE.1 요구사항 수집 프로세스의 핵심 활동과 산출물은 무엇인가요?,"['Identify and analyze stakeholder requirements: 이해관계자 식별, 요구사항 수집, 우선순위 결정\nLevel 2 실무: Structured elicitation methods (interviews, workshops, surveys), Requirements prioritization and classification, Stakeholder conflict resolution 구체적 도구와 기법 적용\n필수 산출물: Stakeholder requirements specification, Requirements prioritization matrix, Stakeholder sign-off records']","SWE.1 요구사항 수집은 이해관계자를 식별하고, 그들의 요구사항을 체계적으로 수집하는 프로세스입니다. Level 2 달성을 위해서는 구조화된 수집 방법(인터뷰, 워크샵 등)을 사용하고, 요구사항 우선순위 매트릭스를 작성하며, 충돌하는 요구사항을 해결하는 절차를 문서화해야 합니다.",요구사항 수집 및 분석 프로세스
SWE.2 시스템 요구사항 분석에서 요구사항 추적 가능성을 어떻게 확보하나요?,"['Analyze and transform stakeholder requirements into system requirements\n추적 가능성 확보: 요구사항 분석 결과를 시스템 요구사항과 매핑\n일반적인 문제점: Gaps in requirements traceability, Inconsistent requirements across subsystems, Missing verification criteria']","요구사항 추적 가능성은 이해관계자 요구사항부터 테스트 케이스까지의 연결성을 보장하는 것입니다. 요구사항 추적 행렬(RTM)을 작성하여 각 요구사항이 시스템, 소프트웨어, 테스트 단계에서 어떻게 다뤄지는지 명확히 합니다.",시스템 요구사항 분석 및 추적 가능성
SWE.3 아키텍처 설계의 Level 2 요구사항을 충족하기 위한 증거는 무엇인가요?,"['SWE(소프트웨어 엔지니어링) 카테고리는 소프트웨어 개발 생명주기 전반을 다룹니다.\n주요 프로세스: SWE.1~SWE.3(요구사항), SWE.4~SWE.6(설계), SWE.7(테스트), SWE.8(유지보수)\n모든 SWE 프로세스에서 추적 가능성(Traceability)이 핵심 요구사항입니다.']",SWE(소프트웨어 엔지니어링) 카테고리는 소프트웨어 개발 생명주기 전반을 다룹니다. 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.,시스템 아키텍처 설계 및 정의
SWE.5 소프트웨어 요구사항 분석과 SWE.2의 차이점은 무엇인가요?,"['Analyze and transform stakeholder requirements into system requirements\n추적 가능성 확보: 요구사항 분석 결과를 시스템 요구사항과 매핑\n일반적인 문제점: Gaps in requirements traceability, Inconsistent requirements across subsystems, Missing verification criteria']",Analyze and transform stakeholder requirements into system requirements 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.,시스템 요구사항 분석 및 추적 가능성
SWE.6 소프트웨어 상세 설계에서 설계 검증의 중요성은 무엇인가요?,"['SWE(소프트웨어 엔지니어링) 카테고리는 소프트웨어 개발 생명주기 전반을 다룹니다.\n주요 프로세스: SWE.1~SWE.3(요구사항), SWE.4~SWE.6(설계), SWE.7(테스트), SWE.8(유지보수)\n모든 SWE 프로세스에서 추적 가능성(Traceability)이 핵심 요구사항입니다.']",SWE(소프트웨어 엔지니어링) 카테고리는 소프트웨어 개발 생명주기 전반을 다룹니다. 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.,ASPICE 자동차 소프트웨어 프로세스 평가 및 인증에 관한 정확한 정보입니다.
SWE.7 통합 테스트에서 테스트 커버리지를 어떻게 보장하나요?,"['SWE(소프트웨어 엔지니어링) 카테고리는 소프트웨어 개발 생명주기 전반을 다룹니다.\n주요 프로세스: SWE.1~SWE.3(요구사항), SWE.4~SWE.6(설계), SWE.7(테스트), SWE.8(유지보수)\n모든 SWE 프로세스에서 추적 가능성(Traceability)이 핵심 요구사항입니다.']",SWE(소프트웨어 엔지니어링) 카테고리는 소프트웨어 개발 생명주기 전반을 다룹니다. 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.,ASPICE 자동차 소프트웨어 프로세스 평가 및 인증에 관한 정확한 정보입니다.
ACQ.1 조달 프로세스에서 공급업체 선정의 ASPICE 준수 요구사항은 무엇인가요?,"['SWE(소프트웨어 엔지니어링) 카테고리는 소프트웨어 개발 생명주기 전반을 다룹니다.\n주요 프로세스: SWE.1~SWE.3(요구사항), SWE.4~SWE.6(설계), SWE.7(테스트), SWE.8(유지보수)\n모든 SWE 프로세스에서 추적 가능성(Traceability)이 핵심 요구사항입니다.']",SWE(소프트웨어 엔지니어링) 카테고리는 소프트웨어 개발 생명주기 전반을 다룹니다. 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.,ASPICE 자동차 소프트웨어 프로세스 평가 및 인증에 관한 정확한 정보입니다.
SUP.8 형상 관리 프로세스의 ASPICE Level 2 요구사항은 무엇인가요?,"['SWE(소프트웨어 엔지니어링) 카테고리는 소프트웨어 개발 생명주기 전반을 다룹니다.\n주요 프로세스: SWE.1~SWE.3(요구사항), SWE.4~SWE.6(설계), SWE.7(테스트), SWE.8(유지보수)\n모든 SWE 프로세스에서 추적 가능성(Traceability)이 핵심 요구사항입니다.']",SWE(소프트웨어 엔지니어링) 카테고리는 소프트웨어 개발 생명주기 전반을 다룹니다. 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.,관리(Managed) - 정의된 목표 달성 및 프로세스 관리
MAN.3 프로젝트 관리 프로세스에서 리스크 관리를 어떻게 수행하나요?,"['SWE(소프트웨어 엔지니어링) 카테고리는 소프트웨어 개발 생명주기 전반을 다룹니다.\n주요 프로세스: SWE.1~SWE.3(요구사항), SWE.4~SWE.6(설계), SWE.7(테스트), SWE.8(유지보수)\n모든 SWE 프로세스에서 추적 가능성(Traceability)이 핵심 요구사항입니다.']",SWE(소프트웨어 엔지니어링) 카테고리는 소프트웨어 개발 생명주기 전반을 다룹니다. 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.,ASPICE 자동차 소프트웨어 프로세스 평가 및 인증에 관한 정확한 정보입니다.
CLU.1 조직 프로세스 개선의 Level 2 요구사항은 무엇인가요?,"['SWE(소프트웨어 엔지니어링) 카테고리는 소프트웨어 개발 생명주기 전반을 다룹니다.\n주요 프로세스: SWE.1~SWE.3(요구사항), SWE.4~SWE.6(설계), SWE.7(테스트), SWE.8(유지보수)\n모든 SWE 프로세스에서 추적 가능성(Traceability)이 핵심 요구사항입니다.']",SWE(소프트웨어 엔지니어링) 카테고리는 소프트웨어 개발 생명주기 전반을 다룹니다. 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.,관리(Managed) - 정의된 목표 달성 및 프로세스 관리
SWE 프로세스 간의 인터페이스 관리 방법은 무엇인가요?,"['SWE(소프트웨어 엔지니어링) 카테고리는 소프트웨어 개발 생명주기 전반을 다룹니다.\n주요 프로세스: SWE.1~SWE.3(요구사항), SWE.4~SWE.6(설계), SWE.7(테스트), SWE.8(유지보수)\n모든 SWE 프로세스에서 추적 가능성(Traceability)이 핵심 요구사항입니다.']",SWE(소프트웨어 엔지니어링) 카테고리는 소프트웨어 개발 생명주기 전반을 다룹니다. 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.,ASPICE 자동차 소프트웨어 프로세스 평가 및 인증에 관한 정확한 정보입니다.
HWE.6 하드웨어 요구사항 정의에서 소프트웨어와의 인터페이스를 어떻게 관리하나요?,"['SWE(소프트웨어 엔지니어링) 카테고리는 소프트웨어 개발 생명주기 전반을 다룹니다.\n주요 프로세스: SWE.1~SWE.3(요구사항), SWE.4~SWE.6(설계), SWE.7(테스트), SWE.8(유지보수)\n모든 SWE 프로세스에서 추적 가능성(Traceability)이 핵심 요구사항입니다.']",SWE(소프트웨어 엔지니어링) 카테고리는 소프트웨어 개발 생명주기 전반을 다룹니다. 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.,ASPICE 자동차 소프트웨어 프로세스 평가 및 인증에 관한 정확한 정보입니다.
SYS.2 시스템 아키텍처 설계와 SWE.3의 차이점은 무엇인가요?,"['SWE(소프트웨어 엔지니어링) 카테고리는 소프트웨어 개발 생명주기 전반을 다룹니다.\n주요 프로세스: SWE.1~SWE.3(요구사항), SWE.4~SWE.6(설계), SWE.7(테스트), SWE.8(유지보수)\n모든 SWE 프로세스에서 추적 가능성(Traceability)이 핵심 요구사항입니다.']",SWE(소프트웨어 엔지니어링) 카테고리는 소프트웨어 개발 생명주기 전반을 다룹니다. 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.,시스템 아키텍처 설계 및 정의
SWE.4 요구사항 할당의 중요성과 일반적인 실패 원인은 무엇인가요?,"['SWE(소프트웨어 엔지니어링) 카테고리는 소프트웨어 개발 생명주기 전반을 다룹니다.\n주요 프로세스: SWE.1~SWE.3(요구사항), SWE.4~SWE.6(설계), SWE.7(테스트), SWE.8(유지보수)\n모든 SWE 프로세스에서 추적 가능성(Traceability)이 핵심 요구사항입니다.']",SWE(소프트웨어 엔지니어링) 카테고리는 소프트웨어 개발 생명주기 전반을 다룹니다. 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.,ASPICE 자동차 소프트웨어 프로세스 평가 및 인증에 관한 정확한 정보입니다.
ASPICE 인증을 위한 준비 단계별 일정은 어떻게 되나요?,"[""4-6 weeks 동안의 Gap 분석: 현재 프로세스 vs ASPICE 요구사항 비교\n개선 계획 수립: ['Process procedures and templates', 'Training materials and records']를 통해 체계적으로 프로세스 개선\n인증된 평가: 1 week 동안 온사이트 평가 진행""]",4-6 weeks 동안의 Gap 분석: 현재 프로세스 vs ASPICE 요구사항 비교 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.,ASPICE 자동차 소프트웨어 프로세스 평가 및 인증에 관한 정확한 정보입니다.
인증된 ASPICE Assessor가 되기 위한 자격 요건은 무엇인가요?,"[""4-6 weeks 동안의 Gap 분석: 현재 프로세스 vs ASPICE 요구사항 비교\n개선 계획 수립: ['Process procedures and templates', 'Training materials and records']를 통해 체계적으로 프로세스 개선\n인증된 평가: 1 week 동안 온사이트 평가 진행""]",4-6 weeks 동안의 Gap 분석: 현재 프로세스 vs ASPICE 요구사항 비교 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.,ASPICE 자동차 소프트웨어 프로세스 평가 및 인증에 관한 정확한 정보입니다.
1차 공급업체의 ASPICE 평가는 보통 얼마나 걸리나요?,"[""4-6 weeks 동안의 Gap 분석: 현재 프로세스 vs ASPICE 요구사항 비교\n개선 계획 수립: ['Process procedures and templates', 'Training materials and records']를 통해 체계적으로 프로세스 개선\n인증된 평가: 1 week 동안 온사이트 평가 진행""]",4-6 weeks 동안의 Gap 분석: 현재 프로세스 vs ASPICE 요구사항 비교 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.,ASPICE 자동차 소프트웨어 프로세스 평가 및 인증에 관한 정확한 정보입니다.
ASPICE 평가의 일반적인 비용은 얼마정도 드나요?,"[""4-6 weeks 동안의 Gap 분석: 현재 프로세스 vs ASPICE 요구사항 비교\n개선 계획 수립: ['Process procedures and templates', 'Training materials and records']를 통해 체계적으로 프로세스 개선\n인증된 평가: 1 week 동안 온사이트 평가 진행""]",4-6 weeks 동안의 Gap 분석: 현재 프로세스 vs ASPICE 요구사항 비교 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.,ASPICE 자동차 소프트웨어 프로세스 평가 및 인증에 관한 정확한 정보입니다.
"Level 2 달성을 위한 준비 비용(컨설팅팅, 교육, 문서화)은 얼마인가요?","[""4-6 weeks 동안의 Gap 분석: 현재 프로세스 vs ASPICE 요구사항 비교\n개선 계획 수립: ['Process procedures and templates', 'Training materials and records']를 통해 체계적으로 프로세스 개선\n인증된 평가: 1 week 동안 온사이트 평가 진행""]","ASPICE Level 2 달성은 보통 6-12개월이 소요되며, 정의된 프로세스 목표, 성과 측정 시스템, 적절한 자원과 교육, 품질 보증 절차가 필요합니다. 특히 프로세스 준수 증거(정책, 절차, 기록, 산출물)가 체계적으로 확립되어야 합니다.",관리(Managed) - 정의된 목표 달성 및 프로세스 관리
ASPICE 평가 준비 시 가장 시간이 많이 걸리는 부분은 무엇인가요?,"[""4-6 weeks 동안의 Gap 분석: 현재 프로세스 vs ASPICE 요구사항 비교\n개선 계획 수립: ['Process procedures and templates', 'Training materials and records']를 통해 체계적으로 프로세스 개선\n인증된 평가: 1 week 동안 온사이트 평가 진행""]",4-6 weeks 동안의 Gap 분석: 현재 프로세스 vs ASPICE 요구사항 비교 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.,ASPICE 자동차 소프트웨어 프로세스 평가 및 인증에 관한 정확한 정보입니다.
문서화된 프로세스와 실제 실행 간의 차이를 발견하는 방법은 무엇인가요?,"[""4-6 weeks 동안의 Gap 분석: 현재 프로세스 vs ASPICE 요구사항 비교\n개선 계획 수립: ['Process procedures and templates', 'Training materials and records']를 통해 체계적으로 프로세스 개선\n인증된 평가: 1 week 동안 온사이트 평가 진행""]",4-6 weeks 동안의 Gap 분석: 현재 프로세스 vs ASPICE 요구사항 비교 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.,ASPICE 자동차 소프트웨어 프로세스 평가 및 인증에 관한 정확한 정보입니다.
ASPICE 평가에서 'partial achievement' 판정을 받으면 어떻게 되나요?,"[""4-6 weeks 동안의 Gap 분석: 현재 프로세스 vs ASPICE 요구사항 비교\n개선 계획 수립: ['Process procedures and templates', 'Training materials and records']를 통해 체계적으로 프로세스 개선\n인증된 평가: 1 week 동안 온사이트 평가 진행""]",4-6 weeks 동안의 Gap 분석: 현재 프로세스 vs ASPICE 요구사항 비교 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.,ASPICE 자동차 소프트웨어 프로세스 평가 및 인증에 관한 정확한 정보입니다.
ASPICE 평가 후 개선 계획 수립 시간은 보통 얼마나 주어지나요?,"[""4-6 weeks 동안의 Gap 분석: 현재 프로세스 vs ASPICE 요구사항 비교\n개선 계획 수립: ['Process procedures and templates', 'Training materials and records']를 통해 체계적으로 프로세스 개선\n인증된 평가: 1 week 동안 온사이트 평가 진행""]",4-6 weeks 동안의 Gap 분석: 현재 프로세스 vs ASPICE 요구사항 비교 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.,ASPICE 자동차 소프트웨어 프로세스 평가 및 인증에 관한 정확한 정보입니다.
인증된 ASPICE Assessor와의 사전 미팅의 핵심 안건은 무엇인가요?,"[""4-6 weeks 동안의 Gap 분석: 현재 프로세스 vs ASPICE 요구사항 비교\n개선 계획 수립: ['Process procedures and templates', 'Training materials and records']를 통해 체계적으로 프로세스 개선\n인증된 평가: 1 week 동안 온사이트 평가 진행""]",4-6 weeks 동안의 Gap 분석: 현재 프로세스 vs ASPICE 요구사항 비교 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.,ASPICE 자동차 소프트웨어 프로세스 평가 및 인증에 관한 정확한 정보입니다.
ASPICE 평가 주기는 보통 얼마나인가요?,"[""4-6 weeks 동안의 Gap 분석: 현재 프로세스 vs ASPICE 요구사항 비교\n개선 계획 수립: ['Process procedures and templates', 'Training materials and records']를 통해 체계적으로 프로세스 개선\n인증된 평가: 1 week 동안 온사이트 평가 진행""]",4-6 weeks 동안의 Gap 분석: 현재 프로세스 vs ASPICE 요구사항 비교 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.,ASPICE 자동차 소프트웨어 프로세스 평가 및 인증에 관한 정확한 정보입니다.
Level 2 유지를 위한 정기적인 평가 활동은 무엇인가요?,"[""4-6 weeks 동안의 Gap 분석: 현재 프로세스 vs ASPICE 요구사항 비교\n개선 계획 수립: ['Process procedures and templates', 'Training materials and records']를 통해 체계적으로 프로세스 개선\n인증된 평가: 1 week 동안 온사이트 평가 진행""]",4-6 weeks 동안의 Gap 분석: 현재 프로세스 vs ASPICE 요구사항 비교 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.,관리(Managed) - 정의된 목표 달성 및 프로세스 관리
